cuontry,coordinate,,,
Alachua County,"29.943089,-82.522333","29.696613,-82.651556","29.452959,-82.104770","29.702540, -82054126"
Baker County,"30.581540, -82.457093","30.261349, -82.052996","30.140171, -82.451326","30.581540, -82.457093"
Bay County,"30.562983, -85.389870","29.933243, -85.391811","29.933243, -85.391811","30.330151, -85.991241"
Bradford County,"30.140971, -82.117469","29.720550, -82.051067","29.720550, -82.051067","29.923082, -82.417109"
Brevard County,"28.789510, -80.948962","27.862988, -80.447840","27.830140, -80.830297","28.777789, -80.966187"
Calhoun County,"30.602576, -84.939570","30.602576, -84.939570","30.203963, -85.387191","30.203963, -85.387191"
Charlotte County,"27.031203, -81.565482","27.031203, -81.565482","26.770416, -81.710647","26.944901, -82.372439"
Citrus County,"29.049996, -82.485795","28.793549, -82.170802","28.667170, -82.415735","28.938968, -82. 798398"
Clay County,"30.187670, -81.807949","29.937595, -81.605595","29.721758, -82.046777","29.721758, -82.046777"
Collier County,"26.502696, -81.555062","25.814954, -80.886478","25.814954, -80.886478","26.328746, -81.842423"
Columbia County,"30.580968, -82.460695","30.580968, -82.460695","29.828409, -82.650583","29.933005, -82.798196"
DeSoto County,"27.335677, -82.054333","27.037218, -81.564745","27.037218, -81.564745","27.335677, -82.054333"
Dixie County,"49.823529, -82.906242","49.823529, -82.906242","29.290331, -83.168839","29.663504, -83.413540"
Escambia County,"30.996955, -87.372981","30.370705, -86.920986","30.281965, -87.517435","30.867062, -87.631901"
Flager County,"29.670032, -81.221902","29.428614, -81.103347","29.264677, -81.263771","29.520818, -81.520356"
Franklin County,"30.007904, -84.799721","29.922227, -84.337190","29.589464, -85.051543","29.676738, -85.215127"
Gadsden County,"30.709337, -84.861899","30.684347, -84.286058","30.390564, -84.653085","30.607344, -84.928960"
Gilchrist County,"29.933116, -82.792392","29.566167, -82.658515","29.566167, -82.658515","29.622656, -82.971195"
Glades County,"27.209058, -81.049244","27.063896, -80.880484","26.773857, -81.562696","26.773857, -81.562696"
Gulf County,"30.195238, -85.384612","29.951095, -85.020148","29.661547, -85.348477","29.856874, -85.407130"
Hamilton County,"30.633591, -83.308029","30.406580, -82.646258","30.317855, -82.745597","30.633591, -83.308029"
